iter	Passed	Remaining
1554	13630	3900
1555	13638	3891
1556	13707	3900
1557	13715	3890
1558	13723	3882
1559	13849	3906
1560	13888	3905
1561	13937	3908
1562	13978	3908
1563	13985	3898
1564	14000	3891
1565	14010	3882
1566	14074	3889
1567	14115	3889
1568	14151	3887
1569	14158	3877
1570	14165	3868
1571	14172	3858
1572	14194	3853
1573	14214	3847
1574	14230	3839
1575	14237	3830
1576	14245	3821
1577	14252	3811
1578	14260	3802
1579	14267	3792
1580	14281	3784
1581	14294	3776
1582	14301	3767
1583	14312	3758
1584	14320	3749
1585	14326	3739
1586	14334	3730
1587	14342	3721
1588	14350	3711
1589	14359	3702
1590	14366	3693
1591	14373	3683
1592	14380	3674
1593	14388	3664
1594	14402	3656
1595	14418	3649
1596	14425	3640
1597	14432	3630
1598	14441	3621
1599	14455	3613
1600	14464	3604
1601	14473	3595
1602	14509	3593
1603	14518	3584
1604	14524	3574
1605	14532	3565
1606	14576	3564
1607	14602	3559
1608	14610	3550
1609	14617	3540
1610	14623	3531
1611	14635	3522
1612	14646	3513
1613	14653	3504
1614	14661	3495
1615	14686	3489
1616	14694	3480
1617	14702	3471
1618	14711	3462
1619	14718	3452
1620	14725	3443
1621	14733	3433
1622	14740	3424
1623	14756	3416
1624	14769	3408
1625	14776	3398
1626	14784	3389
1627	14791	3379
1628	14798	3370
1629	14805	3360
1630	14812	3351
1631	14819	3341
1632	14826	3332
1633	14836	3323
1634	14843	3313
1635	14851	3304
1636	14860	3295
1637	14884	3289
1638	14905	3283
1639	14914	3273
1640	14924	3264
1641	14948	3259
1642	14956	3249
1643	14965	3240
1644	14972	3231
1645	14988	3223
1646	15138	3244
1647	15182	3242
1648	15198	3235
1649	15233	3231
1650	15245	3222
1651	15254	3213
1652	15291	3210
1653	15306	3201
1654	15314	3192
1655	15394	3197
1656	15401	3188
1657	15408	3178
1658	15417	3169
1659	15438	3162
1660	15445	3152
1661	15455	3143
1662	15465	3133
1663	15484	3126
1664	15500	3118
1665	15507	3109
1666	15514	3099
1667	15521	3089
1668	15553	3084
